state,white,error1,black,error2,indian,error3,asian,error4,other,error6,richest_race,richest,poorest_race,poorest,difference,location
Alabama,53012,320,31183,313,48678,3056,61859,4361,33715,2445,asian,61859,black,31183,30676,southern
Alaska,83478,1083,56696,2891,47397,1845,71748,5560,63628,4955,white,83478,indian,47397,36081,western
Arizona,55636,301,42089,982,33402,1059,71300,1424,41112,901,asian,71300,indian,33402,37898,western
Arkansas,47575,460,29299,734,36408,2403,65576,4376,36222,1666,asian,65576,black,29299,36277,southern
California,70503,230,46219,435,50229,858,86156,545,49764,314,asian,86156,black,46219,39937,western
Colorado,67843,360,47687,1161,41833,2114,71984,2663,44949,1494,asian,71984,indian,41833,30151,western
Connecticut,80277,521,45972,1160,46004,7591,91702,2400,39461,1621,asian,91702,other,39461,52241,northern
Delaware,67046,839,48850,1670,39929,11084,95060,4514,38820,3599,asian,95060,other,38820,56240,southern
District of Columbia,125615,2654,41387,1045,48438,31055,93798,5400,53891,4805,white,125615,black,41387,84228,northern
Florida,53357,187,37280,271,43427,4248,66236,1374,42972,1015,asian,66236,black,37280,28956,southern
Georgia,60671,347,40112,378,39767,2792,73101,1366,38946,1238,asian,73101,other,38946,34155,southern
Idaho,51436,420,37216,13526,40627,3205,57434,7781,40335,3480,asian,57434,black,37216,20218,western
Illinois,66490,263,35572,420,41676,3519,82605,1181,48036,915,asian,82605,black,35572,47033,northern
Indiana,54951,256,32163,516,38913,2826,59361,2836,39314,1861,asian,59361,black,32163,27198,northern
Iowa,57950,290,30505,1219,33382,2612,60624,2619,46293,2581,asian,60624,black,30505,30119,northern
Kansas,57594,434,34664,1173,41807,4590,65462,2591,44681,2257,asian,65462,black,34664,30798,northern
Kentucky,48228,313,32160,557,30761,3953,61730,2112,35432,2943,asian,61730,indian,30761,30969,southern
Louisiana,57109,438,28743,431,41645,2987,58158,4449,36917,2005,asian,58158,black,28743,29415,southern
Maine,53585,511,28018,5653,32372,5925,53151,6137,56344,10760,other,56344,black,28018,28326,northern
Maryland,87851,486,62827,531,63934,10843,100496,1650,61928,1450,asian,100496,other,61928,38568,southern
Massachusetts,78696,435,46196,1260,40986,6814,86965,2309,36766,970,asian,86965,other,36766,50199,northern
Michigan,56601,192,32163,294,40486,1790,79096,1812,40556,1594,asian,79096,black,32163,46933,northern
Minnesota,68530,304,32743,1083,36017,1633,71865,1486,42476,1978,asian,71865,black,32743,39122,northern
Mississippi,52159,391,28347,541,32088,3042,55647,2639,39128,4978,asian,55647,black,28347,27300,southern
Missouri,54412,257,34948,622,40985,5223,64020,2841,35676,1654,asian,64020,black,34948,29072,southern
Montana,52030,530,31352,9140,31277,1236,55648,7223,51600,13928,asian,55648,indian,31277,24371,western
Nebraska,59039,453,31523,1230,34962,4477,53106,2376,44938,2360,white,59039,black,31523,27516,northern
Nevada,58885,466,38846,1352,41749,2359,63326,1590,43540,1217,asian,63326,black,38846,24480,western
New Hampshire,71699,763,50424,7334,47882,7312,79900,4213,47524,10675,asian,79900,other,47524,32376,northern
New Jersey,82608,373,48978,797,44146,7639,111651,1900,45582,734,asian,111651,indian,44146,67505,northern
New Mexico,49659,564,41379,2157,31947,812,61860,4595,34879,1060,asian,61860,indian,31947,29913,western
New York,70712,285,43997,429,40043,2284,68567,1019,38290,603,white,70712,other,38290,32422,northern
North Carolina,55636,298,35690,299,36833,1480,76348,2387,35688,765,asian,76348,other,35688,40660,southern
North Dakota,63732,874,30500,4676,31725,3358,58250,14923,55463,6822,white,63732,black,30500,33232,northern
Ohio,56395,194,30575,312,34326,2458,71414,1867,38405,1576,asian,71414,black,30575,40839,northern
Oklahoma,52774,292,32185,720,40846,619,56353,2208,40108,1115,asian,56353,black,32185,24168,southern
Oregon,57026,398,33143,3282,40296,2205,72402,1911,46146,1916,asian,72402,black,33143,39259,western
Pennsylvania,60591,205,35349,429,36898,3300,69664,1744,34531,1251,asian,69664,other,34531,35133,northern
Rhode Island,65182,762,38368,3173,26995,4508,69090,7133,33697,2461,asian,69090,indian,26995,42095,northern
South Carolina,56174,338,31960,293,37486,6603,59800,3100,35380,1709,asian,59800,black,31960,27840,southern
South Dakota,56820,593,32192,5530,26847,1590,46533,5388,40800,10933,white,56820,indian,26847,29973,northern
Tennessee,51801,223,35371,454,40934,5261,69802,2600,34231,2174,asian,69802,other,34231,35571,southern
Texas,60322,191,42401,332,50793,1930,82507,817,42456,476,asian,82507,black,42401,40106,southern
Utah,67070,384,40536,3438,41569,3156,67005,4095,45580,1250,white,67070,black,40536,26534,western
Vermont,58244,768,41553,4319,40585,8451,54639,4956,54960,24472,white,58244,indian,40585,17659,northern
Virginia,73982,329,47246,510,59659,5910,99829,1839,55081,1879,asian,99829,black,47246,52583,southern
Washington,67533,330,47057,1391,42804,1582,83643,1575,46243,1205,asian,83643,indian,42804,40839,western
West Virginia,44580,464,31939,1617,24271,6421,56701,6327,33318,13859,asian,56701,indian,24271,32430,southern
Wisconsin,59534,247,29081,748,39624,1398,64367,2050,40000,1867,asian,64367,black,29081,35286,northern
Wyoming,61801,892,43091,7202,46826,4578,45283,10629,45102,5393,white,61801,black,43091,18710,western
