"Median Household Income by State by Race of Householder","","","","","","","","","","","","","",""
"State","White","Margin Of Error","Black or African American","Margin Of Error","American Indian and Alaska Native","Margin Of Error","Asian","Margin Of Error","Native Hawaiian and Other Pacific Islander","Margin Of Error","Some Other Race","Margin Of Error","Two or More Races","Margin Of Error"
"Alabama","$53,012","+/- $320","$31,183","+/- $313","$48,678","+/- $3,056","$61,859","+/- $4,361","$53,968","+/- $15,641","$33,715","+/- $2,445","$41,465","+/- $1,890"
"Alaska","$83,478","+/- $1,083","$56,696","+/- $2,891","$47,397","+/- $1,845","$71,748","+/- $5,560","$59,149","+/- $9,031","$63,628","+/- $4,955","$63,492","+/- $3,519"
"Arizona","$55,636","+/- $301","$42,089","+/- $982","$33,402","+/- $1,059","$71,300","+/- $1,424","$51,932","+/- $8,681","$41,112","+/- $901","$50,702","+/- $1,590"
"Arkansas","$47,575","+/- $460","$29,299","+/- $734","$36,408","+/- $2,403","$65,576","+/- $4,376","$32,425","+/- $12,211","$36,222","+/- $1,666","$37,592","+/- $2,107"
"California","$70,503","+/- $230","$46,219","+/- $435","$50,229","+/- $858","$86,156","+/- $545","$66,635","+/- $2,015","$49,764","+/- $314","$66,627","+/- $981"
"Colorado","$67,843","+/- $360","$47,687","+/- $1,161","$41,833","+/- $2,114","$71,984","+/- $2,663","$56,023","+/- $13,559","$44,949","+/- $1,494","$56,098","+/- $2,077"
"Connecticut","$80,277","+/- $521","$45,972","+/- $1,160","$46,004","+/- $7,591","$91,702","+/- $2,400","$X","X","$39,461","+/- $1,621","$55,564","+/- $2,930"
"Delaware","$67,046","+/- $839","$48,850","+/- $1,670","$39,929","+/- $11,084","$95,060","+/- $4,514","$X","X","$38,820","+/- $3,599","$48,101","+/- $7,240"
"District of Columbia","$125,615","+/- $2,654","$41,387","+/- $1,045","$48,438","+/- $31,055","$93,798","+/- $5,400","$79,297","+/- $71,164","$53,891","+/- $4,805","$86,831","+/- $8,258"
"Florida","$53,357","+/- $187","$37,280","+/- $271","$43,427","+/- $4,248","$66,236","+/- $1,374","$56,190","+/- $8,406","$42,972","+/- $1,015","$47,933","+/- $1,139"
"Georgia","$60,671","+/- $347","$40,112","+/- $378","$39,767","+/- $2,792","$73,101","+/- $1,366","$45,833","+/- $17,250","$38,946","+/- $1,238","$51,404","+/- $1,423"
"Hawaii","$74,152","+/- $1,045","$68,825","+/- $7,062","$46,033","+/- $18,649","$79,824","+/- $1,095","$59,671","+/- $2,358","$56,500","+/- $9,846","$76,782","+/- $1,593"
"Idaho","$51,436","+/- $420","$37,216","+/- $13,526","$40,627","+/- $3,205","$57,434","+/- $7,781","$39,750","+/- $13,859","$40,335","+/- $3,480","$42,505","+/- $5,903"
